Datum,Název,Místo konání,Popis
05.12.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
06.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
06.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
06.12.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
06.12.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
06.12.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
07.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
07.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
07.12.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
07.12.2025,Bleší trhy Přerov,Přerov,všeobecné (bleší trh)
13.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
13.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
13.12.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
13.12.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
14.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
14.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
14.12.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
20.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
20.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
20.12.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
20.12.2025,Bleší trhy Ostrava,Ostrava,všeobecné (bleší trh), starožitnosti
20.12.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
21.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
21.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
21.12.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
27.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
27.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
28.12.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
28.12.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
28.12.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
